Date,Inflows_m/s^3
12/22/1952,144.217
12/23/1952,133.429
12/24/1952,133.146
12/25/1952,130.54
12/26/1952,118.194
12/27/1952,97.976
12/28/1952,113.692
12/29/1952,112.219
12/30/1952,95.003
12/31/1952,317.375
1/1/1953,386.977
1/2/1953,424.186
1/3/1953,343.341
1/4/1953,235.426
1/5/1953,190.515
1/6/1953,163.53
1/7/1953,166.729
1/8/1953,197.934
1/9/1953,258.362
1/10/1953,580.863
1/11/1953,751.839
1/12/1953,571.745
1/13/1953,350.93
1/14/1953,232.028
1/15/1953,200.993
1/16/1953,182.728
1/17/1953,167.296
1/18/1953,155.403
1/19/1953,154.327
1/20/1953,153.052
1/21/1953,190.657
1/22/1953,250.066
1/23/1953,357.16
1/24/1953,799.61
1/25/1953,793.239
1/26/1953,671.505
1/27/1953,354.64
1/28/1953,268.783
1/29/1953,240.834
1/30/1953,224.184
1/31/1953,202.777
2/1/1953,166.474
2/2/1953,172.251
2/3/1953,164.719
2/4/1953,164.351
2/5/1953,148.465
2/6/1953,147.332
2/7/1953,255.984
2/8/1953,337.536
2/9/1953,312.844
2/10/1953,205.014
2/11/1953,205.297
2/12/1953,214.16
2/13/1953,211.895
2/14/1953,214.471
2/15/1953,703.729
2/16/1953,695.999
2/17/1953,664.539
2/18/1953,433.077
2/19/1953,295.203
2/20/1953,242.363
2/21/1953,470.002
2/22/1953,919.531
2/23/1953,1171.664
2/24/1953,635.684
2/25/1953,359.765
2/26/1953,306.133
2/27/1953,262.865
2/28/1953,219.908
3/1/1953,202.408
3/2/1953,262.582
3/3/1953,329.211
3/4/1953,533.517
3/5/1953,641.545
3/6/1953,801.45
3/7/1953,459.78
3/8/1953,335.781
3/9/1953,301.772
3/10/1953,218.181
3/11/1953,247.914
3/12/1953,305.538
3/13/1953,381.739
3/14/1953,431.973
3/15/1953,409.942
3/16/1953,525.871
3/17/1953,573.953
3/18/1953,408.611
3/19/1953,302.99
3/20/1953,246.526
3/21/1953,270.029
3/22/1953,217.133
3/23/1953,234.435
3/24/1953,846.474
3/25/1953,1259.758
3/26/1953,1326.132
3/27/1953,714.093
3/28/1953,452.219
3/29/1953,394.765
3/30/1953,265.64
3/31/1953,244.997
4/1/1953,222.768
4/2/1953,203.683
4/3/1953,190.544
4/4/1953,203.569
4/5/1953,167.947
4/6/1953,198.784
4/7/1953,270.652
4/8/1953,277.391
4/9/1953,258.504
4/10/1953,233.67
4/11/1953,174.431
4/12/1953,314.968
4/13/1953,542.691
4/14/1953,439.363
4/15/1953,334.025
4/16/1953,289.454
4/17/1953,218.436
4/18/1953,240.042
4/19/1953,189.723
4/20/1953,173.44
4/21/1953,137.535
4/22/1953,154.27
4/23/1953,152.939
4/24/1953,133.712
4/25/1953,151.268
4/26/1953,167.381
4/27/1953,136.43
4/28/1953,149.598
4/29/1953,142.434
4/30/1953,247.744
5/1/1953,204.929
5/2/1953,223.731
5/3/1953,172.025
5/4/1953,166.163
5/5/1953,165.54
5/6/1953,163.218
5/7/1953,153.59
5/8/1953,178.962
5/9/1953,187.089
5/10/1953,163.02
5/11/1953,152.967
5/12/1953,130.71
5/13/1953,133.259
5/14/1953,106.868
5/15/1953,117.118
5/16/1953,110.322
5/17/1953,118.138
5/18/1953,95.201
5/19/1953,146.964
5/20/1953,165.37
5/21/1953,249.273
5/22/1953,201.559
5/23/1953,116.722
5/24/1953,131.9
5/25/1953,114.513
5/26/1953,104.376
5/27/1953,78.777
5/28/1953,72.604
5/29/1953,74.586
5/30/1953,67.281
5/31/1953,79.91
6/1/1953,117.175
6/2/1953,65.468
6/3/1953,57.596
6/4/1953,58.163
6/5/1953,64.902
6/6/1953,64.562
6/7/1953,73.171
6/8/1953,98.656
6/9/1953,141.811
6/10/1953,79.74
6/11/1953,119.61
6/12/1953,265.074
6/13/1953,214.953
6/14/1953,140.848
6/15/1953,101.997
6/16/1953,79.457
6/17/1953,336.8
6/18/1953,225.034
6/19/1953,258.391
6/20/1953,169.334
6/21/1953,107.83
6/22/1953,92.794
6/23/1953,124.282
6/24/1953,156.79
6/25/1953,114.032
6/26/1953,82.94
6/27/1953,159.027
6/28/1953,158.461
6/29/1953,107.604
6/30/1953,154.836
7/1/1953,91.633
7/2/1953,72.095
7/3/1953,84.752
7/4/1953,69.971
7/5/1953,118.506
7/6/1953,81.156
7/7/1953,121.224
7/8/1953,104.319
7/9/1953,89
7/10/1953,62.92
7/11/1953,67.904
7/12/1953,48.705
7/13/1953,38.426
7/14/1953,59.38
7/15/1953,44.854
7/16/1953,46.27
7/17/1953,44.967
7/18/1953,36.812
7/19/1953,123.716
7/20/1953,26.476
7/21/1953,48.648
7/22/1953,47.799
7/23/1953,45.25
7/24/1953,46.1
7/25/1953,64.053
7/26/1953,56.294
7/27/1953,35.453
7/28/1953,34.603
7/29/1953,32.111
7/30/1953,39.7
7/31/1953,27.014
8/1/1953,18.604
8/2/1953,113.862
8/3/1953,99.732
8/4/1953,59.041
8/5/1953,60.683
8/6/1953,38.624
8/7/1953,38.398
8/8/1953,78.636
8/9/1953,101.063
8/10/1953,32.593
8/11/1953,49.243
8/12/1953,42.928
8/13/1953,51.225
8/14/1953,21.039
8/15/1953,27.014
8/16/1953,24.494
8/17/1953,36.925
8/18/1953,41.088
8/19/1953,33.81
8/20/1953,38.624
8/21/1953,49.469
8/22/1953,39.36
8/23/1953,35.424
8/24/1953,22.399
8/25/1953,29.365
8/26/1953,27.949
8/27/1953,20.841
8/28/1953,20.19
8/29/1953,27.666
8/30/1953,17.33
8/31/1953,12.629
9/1/1953,28.43
9/2/1953,4.474
9/3/1953,17.67
9/4/1953,6.626
9/5/1953,38.228
9/6/1953,102.847
9/7/1953,69.404
9/8/1953,38.567
9/9/1953,44.825
9/10/1953,37.322
9/11/1953,39.587
9/12/1953,37.945
9/13/1953,13.535
9/14/1953,21.719
9/15/1953,41.852
9/16/1953,23.135
9/17/1953,10.675
9/18/1953,29.393
9/19/1953,41.059
9/20/1953,32.281
9/21/1953,21.407
9/22/1953,19.51
9/23/1953,12.771
9/24/1953,27.92
9/25/1953,19.425
9/26/1953,83.846
9/27/1953,83.846
9/28/1953,33.952
9/29/1953,26.391
9/30/1953,38.567
10/1/1953,35.028
10/2/1953,14.725
10/3/1953,43.296
10/4/1953,34.008
10/5/1953,13.507
10/6/1953,29.534
10/7/1953,12.573
10/8/1953,29.11
10/9/1953,31.092
10/10/1953,24.352
10/11/1953,24.098
10/12/1953,14.555
10/13/1953,22.625
10/14/1953,28.855
10/15/1953,26.476
10/16/1953,26.561
10/17/1953,41.314
10/18/1953,35.679
10/19/1953,29.166
10/20/1953,26.051
10/21/1953,20.671
10/22/1953,45.732
10/23/1953,25.428
10/24/1953,30.044
10/25/1953,32.281
10/26/1953,23.786
10/27/1953,27.411
10/28/1953,46.326
10/29/1953,83.365
10/30/1953,131.163
10/31/1953,92.568
11/1/1953,59.805
11/2/1953,56.152
11/3/1953,48.762
11/4/1953,27.043
11/5/1953,48.592
11/6/1953,80.137
11/7/1953,25.485
11/8/1953,44.287
11/9/1953,40.125
11/10/1953,43.806
11/11/1953,42.305
11/12/1953,37.52
11/13/1953,43.721
11/14/1953,58.418
11/15/1953,44.287
11/16/1953,45.703
11/17/1953,49.923
11/18/1953,38.936
11/19/1953,49.923
11/20/1953,46.298
11/21/1953,62.099
11/22/1953,48.507
11/23/1953,45.76
11/24/1953,64.789
11/25/1953,48.167
11/26/1953,48.563
11/27/1953,49.016
11/28/1953,38.058
11/29/1953,33.244
11/30/1953,36.161
12/1/1953,38.822
12/2/1953,48.082
12/3/1953,53.547
12/4/1953,85.29
12/5/1953,48.818
12/6/1953,84.922
12/7/1953,81.779
12/8/1953,119.582
12/9/1953,127.992
12/10/1953,106.528
12/11/1953,109.756
12/12/1953,163.53
12/13/1953,183.946
12/14/1953,398.417
12/15/1953,516.413
12/16/1953,346.796
12/17/1953,176.159
12/18/1953,133.231
12/19/1953,84.979
12/20/1953,69.829
12/21/1953,103.13
12/22/1953,73.171
12/23/1953,83.903
12/24/1953,85.517
12/25/1953,86.933
12/26/1953,55.982
12/27/1953,61.051
12/28/1953,61.447
12/29/1953,72.661
12/30/1953,66.629
12/31/1953,62.41
1/1/1954,69.348
1/2/1954,57.625
1/3/1954,69.348
1/4/1954,53.632
1/5/1954,63.033
1/6/1954,49.526
1/7/1954,60.57
1/8/1954,55.02
1/9/1954,52.981
1/10/1954,82.77
1/11/1954,117.713
1/12/1954,84.469
1/13/1954,136.855
1/14/1954,138.837
1/15/1954,204.617
1/16/1954,641.602
1/17/1954,786.442
1/18/1954,564.609
1/19/1954,278.694
1/20/1954,199.633
1/21/1954,429.991
1/22/1954,814.419
1/23/1954,1229.119
1/24/1954,1455.172
1/25/1954,1168.266
1/26/1954,624.782
1/27/1954,543.654
1/28/1954,400.853
1/29/1954,300.215
1/30/1954,222.57
1/31/1954,173.837
2/1/1954,168.4
2/2/1954,137.931
2/3/1954,150.221
2/4/1954,132.324
2/5/1954,126.321
2/6/1954,114.23
2/7/1954,107.887
2/8/1954,131.22
2/9/1954,84.639
2/10/1954,113.324
2/11/1954,74.473
2/12/1954,86.649
2/13/1954,84.696
2/14/1954,92.709
2/15/1954,89.793
2/16/1954,74.247
2/17/1954,112.418
2/18/1954,92.2
2/19/1954,86.621
2/20/1954,104.687
2/21/1954,313.269
2/22/1954,346.201
2/23/1954,470.172
2/24/1954,279.147
2/25/1954,200.313
2/26/1954,182.19
2/27/1954,153.675
2/28/1954,124.028
3/1/1954,732.414
3/2/1954,734.991
3/3/1954,799.44
3/4/1954,394.028
3/5/1954,285.433
3/6/1954,231.575
3/7/1954,195.754
3/8/1954,152.741
3/9/1954,145.322
3/10/1954,137.308
3/11/1954,132.947
3/12/1954,143.623
3/13/1954,165.512
3/14/1954,570.159
3/15/1954,510.325
3/16/1954,375.537
3/17/1954,260.09
3/18/1954,170.722
3/19/1954,200.511
3/20/1954,206.883
3/21/1954,423.874
3/22/1954,317.403
3/23/1954,212.772
3/24/1954,168.485
3/25/1954,197.085
3/26/1954,165.88
3/27/1954,146.794
3/28/1954,155.119
3/29/1954,130.654
3/30/1954,109.756
3/31/1954,232.311
4/1/1954,169.674
4/2/1954,262.893
4/3/1954,158.291
4/4/1954,192.554
4/5/1954,134.448
4/6/1954,134.845
4/7/1954,136.204
4/8/1954,146.624
4/9/1954,146.511
4/10/1954,134.165
4/11/1954,147.077
4/12/1954,115.419
4/13/1954,100.241
4/14/1954,116.835
4/15/1954,102.733
4/16/1954,278.213
4/17/1954,605.243
4/18/1954,511.713
4/19/1954,324.992
4/20/1954,216.935
4/21/1954,157.979
4/22/1954,136.232
4/23/1954,125.557
4/24/1954,129.379
4/25/1954,123.631
4/26/1954,160.216
4/27/1954,125.274
4/28/1954,93.87
4/29/1954,103.611
4/30/1954,102.988
5/1/1954,105.622
5/2/1954,83.704
5/3/1954,136.94
5/4/1954,93.955
5/5/1954,128.728
5/6/1954,119.044
5/7/1954,106.075
5/8/1954,87.272
5/9/1954,88.688
5/10/1954,69.914
5/11/1954,70.367
5/12/1954,52.641
5/13/1954,98.061
5/14/1954,173.44
5/15/1954,190.232
5/16/1954,302.82
5/17/1954,270.51
5/18/1954,220.701
5/19/1954,193.517
5/20/1954,346.909
5/21/1954,458.279
5/22/1954,349.826
5/23/1954,235.737
5/24/1954,154.412
5/25/1954,125.783
5/26/1954,116.977
5/27/1954,109.275
5/28/1954,97.778
5/29/1954,105.225
5/30/1954,93.955
5/31/1954,72.944
6/1/1954,73.227
6/2/1954,74.983
6/3/1954,71.585
6/4/1954,69.659
6/5/1954,31.432
6/6/1954,56.86
6/7/1954,55.501
6/8/1954,40.805
6/9/1954,68.045
6/10/1954,71.358
6/11/1954,77.305
6/12/1954,110.69
6/13/1954,110.294
6/14/1954,107.037
6/15/1954,88.915
6/16/1954,133.429
6/17/1954,344.927
6/18/1954,339.49
6/19/1954,342.01
6/20/1954,139.205
6/21/1954,92.596
6/22/1954,79.938
6/23/1954,67.281
6/24/1954,46.694
6/25/1954,54.708
6/26/1954,44.939
6/27/1954,35.764
6/28/1954,23.645
6/29/1954,41.767
6/30/1954,19.652
7/1/1954,27.92
7/2/1954,43.721
7/3/1954,39.19
7/4/1954,32.734
7/5/1954,39.474
7/6/1954,23.107
7/7/1954,13.734
7/8/1954,51.537
7/9/1954,39.87
7/10/1954,34.83
7/11/1954,52.952
7/12/1954,44.741
7/13/1954,28.572
7/14/1954,15.291
7/15/1954,136.968
7/16/1954,133.797
7/17/1954,82.6
7/18/1954,53.236
7/19/1954,46.779
7/20/1954,76.484
7/21/1954,62.807
7/22/1954,290.615
7/23/1954,215.094
7/24/1954,168.74
7/25/1954,83.535
7/26/1954,51.197
7/27/1954,32.621
7/28/1954,53.49
7/29/1954,31.262
7/30/1954,22.399
7/31/1954,34.83
8/1/1954,17.5
8/2/1954,49.215
8/3/1954,67.451
8/4/1954,57.313
8/5/1954,48.592
8/6/1954,63.968
8/7/1954,35.113
8/8/1954,12.233
8/9/1954,44.118
8/10/1954,41.965
8/11/1954,17.755
8/12/1954,21.662
8/13/1954,21.039
8/14/1954,22.285
8/15/1954,18.632
8/16/1954,23.078
8/17/1954,21.096
8/18/1954,19.963
8/19/1954,41.031
8/20/1954,50.517
8/21/1954,53.066
8/22/1954,63.515
8/23/1954,37.633
8/24/1954,36.387
8/25/1954,25.004
8/26/1954,52.216
8/27/1954,53.179
8/28/1954,65.865
8/29/1954,50.97
8/30/1954,62.92
8/31/1954,35.906
9/1/1954,32.479
9/2/1954,29.081
9/3/1954,22.682
9/4/1954,18.378
9/5/1954,23.05
9/6/1954,10.137
9/7/1954,3.058
9/8/1954,42.872
9/9/1954,13.45
9/10/1954,14.838
9/11/1954,3.37
9/12/1954,5.918
9/13/1954,0.368
9/14/1954,18.094
9/15/1954,3.568
9/16/1954,16.027
9/17/1954,11.327
9/18/1954,0.227
9/19/1954,17.613
9/20/1954,23.984
9/21/1954,15.376
9/22/1954,17.811
9/23/1954,25.174
9/24/1954,29.619
9/25/1954,24.154
9/26/1954,20.756
9/27/1954,11.525
9/28/1954,16.197
9/29/1954,26.023
9/30/1954,6.4
10/1/1954,30.186
10/2/1954,29.449
10/3/1954,13.082
10/4/1954,15.716
10/5/1954,21.323
10/6/1954,5.748
10/7/1954,6.201
10/8/1954,12.941
10/9/1954,13.139
10/10/1954,8.353
10/11/1954,6.371
10/12/1954,21.521
10/13/1954,11.44
10/14/1954,21.832
10/15/1954,339.943
10/16/1954,747.139
10/17/1954,1362.321
10/18/1954,1847.048
10/19/1954,526.692
10/20/1954,116.75
10/21/1954,102.337
10/22/1954,77.984
10/23/1954,77.277
10/24/1954,75.804
10/25/1954,53.689
10/26/1954,57.058
10/27/1954,58.956
10/28/1954,28.062
10/29/1954,17.103
10/30/1954,71.557
10/31/1954,62.07
11/1/1954,83.393
11/2/1954,73.68
11/3/1954,59.72
11/4/1954,67.054
11/5/1954,98.344
11/6/1954,88.547
11/7/1954,77.871
11/8/1954,87.924
11/9/1954,64.704
11/10/1954,65.1
11/11/1954,70.452
11/12/1954,65.383
11/13/1954,64.222
11/14/1954,75.464
11/15/1954,51.565
11/16/1954,65.95
11/17/1954,63.231
11/18/1954,62.693
11/19/1954,191.11
11/20/1954,243.185
11/21/1954,527.032
11/22/1954,758.522
11/23/1954,502.283
11/24/1954,200.511
11/25/1954,201.304
11/26/1954,153.958
11/27/1954,131.163
11/28/1954,170.014
11/29/1954,108.737
11/30/1954,169.731
12/1/1954,195.244
12/2/1954,134.986
12/3/1954,126.746
12/4/1954,102.79
12/5/1954,133.372
12/6/1954,148.72
12/7/1954,179.783
12/8/1954,179.33
12/9/1954,204.674
12/10/1954,232.764
12/11/1954,232.821
12/12/1954,183.634
12/13/1954,273.908
12/14/1954,523.748
12/15/1954,725.278
12/16/1954,541.191
12/17/1954,346.116
12/18/1954,246.469
12/19/1954,202.89
12/20/1954,226.166
12/21/1954,161.321
12/22/1954,158.631
12/23/1954,133.344
12/24/1954,131.447
12/25/1954,127.114
12/26/1954,121.309
12/27/1954,111.993
12/28/1954,94.606
12/29/1954,104.857
12/30/1954,118.534
12/31/1954,192.158
1/1/1955,267.027
1/2/1955,137.846
1/3/1955,148.182
1/4/1955,121.762
1/5/1955,133.995
1/6/1955,101.091
1/7/1955,106.386
1/8/1955,101.006
1/9/1955,122.074
1/10/1955,87.867
1/11/1955,151.721
1/12/1955,119.214
1/13/1955,120.488
1/14/1955,107.972
1/15/1955,111.03
1/16/1955,101.148
1/17/1955,96.645
1/18/1955,88.943
1/19/1955,122.498
1/20/1955,76.569
1/21/1955,118.846
1/22/1955,139.97
1/23/1955,143.085
1/24/1955,144.133
1/25/1955,134.618
1/26/1955,112.616
1/27/1955,107.547
1/28/1955,109.529
1/29/1955,129.861
1/30/1955,117.345
1/31/1955,89.821
2/1/1955,69.603
2/2/1955,109.529
2/3/1955,102.648
2/4/1955,96.872
2/5/1955,99.958
2/6/1955,291.975
2/7/1955,767.895
2/8/1955,1098.267
2/9/1955,928.111
2/10/1955,383.693
2/11/1955,443.356
2/12/1955,300.498
2/13/1955,253.435
2/14/1955,196.688
2/15/1955,170.864
2/16/1955,172.11
2/17/1955,175.026
2/18/1955,158.064
2/19/1955,150.929
2/20/1955,137.875
2/21/1955,124.962
2/22/1955,132.608
2/23/1955,135.354
2/24/1955,199.662
2/25/1955,211.555
2/26/1955,212.829
2/27/1955,286.056
2/28/1955,353.903
3/1/1955,466.123
3/2/1955,511.968
3/3/1955,447.632
3/4/1955,349.599
3/5/1955,509.476
3/6/1955,1038.179
3/7/1955,1014.704
3/8/1955,778.004
3/9/1955,428.773
3/10/1955,285.801
3/11/1955,268.84
3/12/1955,246.413
3/13/1955,212.857
3/14/1955,233.868
3/15/1955,252.274
3/16/1955,285.263
3/17/1955,313.694
3/18/1955,452.616
3/19/1955,415.068
3/20/1955,441.77
3/21/1955,440.071
3/22/1955,426.762
3/23/1955,327.455
3/24/1955,390.545
3/25/1955,290.389
3/26/1955,350.477
3/27/1955,156.224
3/28/1955,200.455
3/29/1955,179.585
3/30/1955,166.474
3/31/1955,181.086
4/1/1955,146.426
4/2/1955,159.622
4/3/1955,124.82
4/4/1955,41.937
4/5/1955,142.122
4/6/1955,122.3
4/7/1955,138.922
4/8/1955,117.826
4/9/1955,126.519
4/10/1955,106.245
4/11/1955,132.098
4/12/1955,136.317
4/13/1955,281.016
4/14/1955,1031.128
4/15/1955,1432.434
4/16/1955,1526.814
4/17/1955,1271.934
4/18/1955,529.439
4/19/1955,242.165
4/20/1955,246.186
4/21/1955,276.514
4/22/1955,202.04
4/23/1955,225.628
4/24/1955,200.568
4/25/1955,608.556
4/26/1955,513.157
4/27/1955,352.884
4/28/1955,237.776
4/29/1955,193.517
4/30/1955,175.253
5/1/1955,167.522
5/2/1955,126.973
5/3/1955,127.086
5/4/1955,136.968
5/5/1955,129.833
5/6/1955,116.071
5/7/1955,97.325
5/8/1955,104.829
5/9/1955,90.585
5/10/1955,93.559
5/11/1955,124.226
5/12/1955,144.586
5/13/1955,324.595
5/14/1955,286.368
5/15/1955,213.509
5/16/1955,167.975
5/17/1955,111.88
5/18/1955,108.085
5/19/1955,99.449
5/20/1955,90.614
5/21/1955,78.126
5/22/1955,141.697
5/23/1955,226.025
5/24/1955,383.296
5/25/1955,424.497
5/26/1955,279.175
5/27/1955,167.154
5/28/1955,137.535
5/29/1955,128.162
5/30/1955,123.065
5/31/1955,92.709
6/1/1955,99.505
6/2/1955,76.965
6/3/1955,86.848
6/4/1955,68.838
6/5/1955,64.421
6/6/1955,49.186
6/7/1955,187.486
6/8/1955,188.675
6/9/1955,218.861
6/10/1955,149.286
6/11/1955,240.042
6/12/1955,477.818
6/13/1955,447.236
6/14/1955,191.591
6/15/1955,125.443
6/16/1955,113.72
6/17/1955,89.991
6/18/1955,96.277
6/19/1955,85.092
6/20/1955,90.161
6/21/1955,72.633
6/22/1955,84.384
6/23/1955,85.772
6/24/1955,79.882
6/25/1955,148.069
6/26/1955,124.169
6/27/1955,94.012
6/28/1955,74.332
6/29/1955,69.32
6/30/1955,50.885
7/1/1955,50.461
7/2/1955,49.838
7/3/1955,54.425
7/4/1955,55.501
7/5/1955,61.787
7/6/1955,122.414
7/7/1955,144.671
7/8/1955,107.037
7/9/1955,130.059
7/10/1955,98.599
7/11/1955,192.243
7/12/1955,438.259
7/13/1955,776.05
7/14/1955,497.583
7/15/1955,220.928
7/16/1955,166.531
7/17/1955,98.656
7/18/1955,72.972
7/19/1955,58.701
7/20/1955,63.543
7/21/1955,55.189
7/22/1955,56.152
7/23/1955,48.308
7/24/1955,53.49
7/25/1955,58.163
7/26/1955,70.424
7/27/1955,94.805
7/28/1955,56.435
7/29/1955,48.648
7/30/1955,92.907
7/31/1955,89.764
8/1/1955,74.218
8/2/1955,53.689
8/3/1955,54.198
8/4/1955,58.134
8/5/1955,45.703
8/6/1955,41.173
8/7/1955,54.793
8/8/1955,105.537
8/9/1955,102.818
8/10/1955,127.624
8/11/1955,128.615
8/12/1955,301.8
8/13/1955,94.267
8/14/1955,400.286
8/15/1955,619.317
8/16/1955,343.653
8/17/1955,1340.008
8/18/1955,2094.282
8/19/1955,1890.656
8/20/1955,1702.179
8/21/1955,642.763
8/22/1955,226.931
8/23/1955,291.72
8/24/1955,135.524
8/25/1955,127.171
8/26/1955,110.577
8/27/1955,110.719
8/28/1955,96.22
8/29/1955,76.512
8/30/1955,68.782
8/31/1955,53.802
9/1/1955,109.558
9/2/1955,117.656
9/3/1955,188.901
9/4/1955,267.594
9/5/1955,219.54
9/6/1955,140.055
9/7/1955,102.252
9/8/1955,80.363
9/9/1955,77.446
9/10/1955,66.828
9/11/1955,115.816
9/12/1955,51.622
9/13/1955,57.087
9/14/1955,60.173
9/15/1955,82.77
9/16/1955,55.416
9/17/1955,52.273
9/18/1955,54.708
9/19/1955,155.799
9/20/1955,6.286
9/21/1955,45.024
9/22/1955,42.447
9/23/1955,56.209
9/24/1955,58.842
9/25/1955,64.987
9/26/1955,44.882
9/27/1955,64.845
9/28/1955,42.645
9/29/1955,52.273
9/30/1955,91.095
10/1/1955,695.97
10/2/1955,334.308
10/3/1955,240.636
10/4/1955,199.265
10/5/1955,100.779
10/6/1955,66.969
10/7/1955,74.53
10/8/1955,76.399
10/9/1955,69.093
10/10/1955,79.91
10/11/1955,70.311
10/12/1955,60.909
10/13/1955,125.047
10/14/1955,217.501
10/15/1955,85.573
10/16/1955,65.893
10/17/1955,66.063
10/18/1955,58.078
10/19/1955,45.08
10/20/1955,54.991
10/21/1955,55.246
10/22/1955,47.912
10/23/1955,69.461
10/24/1955,50.319
10/25/1955,50.999
10/26/1955,42.135
10/27/1955,46.298
10/28/1955,51.99
10/29/1955,71.896
10/30/1955,77.701
10/31/1955,50.291
11/1/1955,59.522
11/2/1955,50.687
11/3/1955,56.294
11/4/1955,41.711
11/5/1955,34.801
11/6/1955,67.196
11/7/1955,44.882
11/8/1955,53.774
11/9/1955,55.218
11/10/1955,151.552
11/11/1955,113.975
11/12/1955,109.728
11/13/1955,120.346
11/14/1955,94.975
11/15/1955,75.832
11/16/1955,91.718
11/17/1955,54.028
11/18/1955,59.55
11/19/1955,108.793
11/20/1955,73.086
11/21/1955,77.928
11/22/1955,70.056
11/23/1955,82.289
11/24/1955,72.548
11/25/1955,89.878
11/26/1955,71.783
11/27/1955,91.35
11/28/1955,106.641
11/29/1955,64.789
11/30/1955,50.97
12/1/1955,66.233
12/2/1955,76.739
12/3/1955,61.079
12/4/1955,114.881
12/5/1955,85.573
12/6/1955,82.374
12/7/1955,63.062
12/8/1955,74.162
12/9/1955,100.779
12/10/1955,66.148
12/11/1955,72.887
12/12/1955,71.557
12/13/1955,57.908
12/14/1955,62.212
12/15/1955,62.92
12/16/1955,60.57
12/17/1955,52.641
12/18/1955,81.156
12/19/1955,54.595
12/20/1955,76.257
